23878	3.87239	2.98935
NIPAL3	3.10597	3.20558
TMED1	3.81019	3.45937
PSMD9	3.73795	3.03505
BCL7A	4.38909	3.35225
IL12B	3.30801	3.25674
ERRFI1	4.37997	3.17591
SNAI1	3.59397	4.98291
RNF114	6.64002	4.73918
SMARCA4	8.77733	4.28209
LDLR	7.57541	4.3006
YIPF2	3.46727	3.74452
LRRC32	3.65342	3.77956
VPS33A	5.13296	3.80626
C19orf52	3.46727	3.74452
CARM1	2.99579	3.53392
RNF145	3.26308	3.31438
TNIP1	3.7646	3.39062
WDR66	3.64632	3.1392
LRRC43	4.03488	3.69511
TCHH	3.01026	2.95448
SPC24	3.5857	3.94513
S100A11	5.6133	3.60634
EBF1	4.75576	2.87402
UBLCP1	4.91296	4.05851
PTPN2	3.47572	4.0346
MLXIP	5.04825	3.93614
B3GNT4	4.7289	4.25963
TCHHL1	3.66313	3.50193
DIABLO	3.39899	3.94785
IFNLR1	3.10597	3.20558
LCE3A	3.6807	2.72581
LCE5A	4.19313	3.5714
LCE1E	3.29843	2.85327
PTPN1	3.70522	2.78869
GM2A	3.14828	3.41888
ANXA6	5.43324	3.84875
KANK2	3.99194	3.74769
CCDC69	3.7646	3.39062
ENSG00000200344	4.27594	3.12436
PRR9	3.66299	2.73014
ENSG00000203999	3.61636	3.00969
ENSG00000204277	3.83483	4.5413
IL31	3.27362	4.5
RNU6-147P	4.94654	2.85404
C19orf38	3.49353	3.46322
ENSG00000216097	4.22896	3.7303
RNU4ATAC2P	3.40339	3.31646
ENSG00000223456	5.04396	3.80557
ENSG00000225820	3.38835	3.10777
KRT18P4	4.62525	5.01126
ENSG00000230779	3.29843	2.85327
TRERNA1	4.72048	3.99879
COX6CP2	5.89079	2.95722
ENSG00000232848	3.03893	3.17754
ENSG00000233077	3.65792	2.98443
ENSG00000235842	3.74558	3.55322
ENSG00000236427	4.16113	3.22907
RPL21P33	3.08892	4.30098
ENSG00000237627	3.13304	4.4324
FLG-AS1	230.259	3.66071
ENSG00000238167	3.97851	4.73604
ENSG00000238290	5.74852	3.27818
RNU7-170P	3.81426	3.02218
ENSG00000239157	6.64002	4.73918
ENSG00000242219	4.60754	4.39845
RN7SL636P	4.13266	2.88919
UBE2V1	6.01621	3.80535
ENSG00000245812	4.75576	2.87402
ENSG00000249738	3.29052	3.3013
RNU6-991P	6.12385	4.95084
ENSG00000254298	3.10439	3.71104
ENSG00000254755	3.6985	3.79613
ENSG00000254975	3.65342	3.77956
ENSG00000255363	3.21883	4.31299
ENSG00000255479	3.21883	4.31299
ENSG00000255856	4.38909	3.35225
ENSG00000256546	4.67061	3.46667
ENSG00000256861	4.50018	3.82381
ENSG00000256950	5.50862	3.14274
ENSG00000257020	3.32404	2.97134
